Brand,Mentions
Toyota,421
Honda,365
Ford,287
Hyundai,156
Kia,122
Bmw,122
Ac,111
Lexus,92
Dodge,89
Jeep,84
Audi,84
Acura,69
Gmc,47
Buick,47
Cadillac,41
Chrysler,37
Infiniti,20
Corvette,17
Fiat,16
Lincoln,14
Genesis,14
Aston Martin,6
Ferrari,6
Jaguar,6
Cupra,6
Byd,4
Dacia,4
Alfa Romeo,4
Holden,4
CitroÃ«n,4
Iso,3
Land Rover,3
Daewoo,3
Lamborghini,3
Lotus,3
Abarth,2
Isuzu,2
Cobra,1
Delorean,1
Ariel,1
De Tomaso,1
Hummer,1
Bugatti,1
Lucid,1
Jac,1
Datsun,1
Daihatsu,1
Alpina,1
Austin,1
Ligier,1
Lancia,1
Koenigsegg,1
