Model,Mentions
I,4323
Is,3434
M,1715
Go,664
10,251
Idea,240
Air,218
500,177
30,175
7,165
20,162
15,141
Spark,135
100,132
Camry,113
Corolla,109
V6,109
Accord,107
Move,106
Life,100
200,99
12,94
Safe,87
300,85
25,84
Daily,80
Rav4,78
1500,73
Business,73
90,65
Ex,63
California,62
Sensors,61
800,60
Y,56
City,56
Gt,55
Mustang,53
16,52
45,51
Elantra,50
Max,50
600,49
35,48
80,47
Silverado,44
Zero,43
Golf,42
1000,42
Seal,40
Lx,40
700,40
Focus,39
Cherokee,36
Charger,35
Cx,35
Ram,35
Coupe,33
08,32
Escape,30
09,30
Fusion,28
06,28
G,27
Mini,27
Special,25
Santa Fe,24
Edge,23
Equinox,23
05,23
07,23
Buddy,22
Impala,22
Cr-V,22
Spring,21
Es,21
Sonata,21
Explorer,21
Pilot,20
Pro,20
Grand Cherokee,20
F-150,20
750,19
Classic,19
Fwd,18
Cruze,18
Fiesta,18
02,18
A4,18
Corvette,17
Mustang Gt,17
Soul,16
Ls,16
Sportage,16
Rush,16
A3,16
Tucson,15
Taurus,15
Sorento,14
Genesis,14
03,14
Wrangler,14
Challenger,14
Malibu,14
Camaro,14
Tx,14
Colorado,13
Rx,13
Compass,13
Caravan,13
Media,12
Optima,12
Jumper,12
Traverse,12
1200,12
Cts,12
Tahoe,12
Kona,11
Forte,11
Odyssey,11
Gs,11
180,10
Trailblazer,10
Grand Caravan,10
Blazer,10
Bronco,10
Suburban,10
1600,10
Terrain,10
Metro,10
Ten,10
A5,10
Volt,9
Tlx,9
Yukon,9
Rio,9
Express,9
A6,8
Cobalt,8
Mdx,8
110,8
I4,8
Vantage,8
Century,8
Switches,8
Expedition,8
850,8
Journey,8
Hr-V,8
Encore,8
X3,8
Accent,8
Dakota,7
165,7
Ct,7
Song,7
Acadia,7
Pacifica,7
Trax,7
Avalanche,7
Enclave,7
K5,7
Ioniq,7
Lesabre,7
Tracker,6
Sonic,6
Maverick,6
Deer,6
01,6
175,6
Sc,6
Combo,6
J,6
M3,6
Veloster,6
Q50,6
Rdx,6
5 Series,6
Niro,5
Avenger,5
B8,5
126,5
C3,5
Q5,5
Gx,5
145,5
Ct5,5
C-Max,5
720,5
Q3,5
Telluride,5
Seltos,5
Astra,5
Durango,5
Cr-V Hybrid,5
Leon,5
Sierra 1500,5
328I,4
Caliber,4
Vision,4
Ilx,4
Escalade,4
Rs3,4
Be Up,4
B4,4
X5,4
Passport,4
S5,4
240K,4
535I,4
Qx60,4
Range Rover,4
C6,4
1300,4
240,4
210,4
Punto,4
Palisade,4
M4,4
Civic Sedan,4
3 Series,4
Civic Hatchback,4
Continental,4
Nova,4
528I,4
S4,4
148,3
Giulia,3
Roadster,3
D4,3
Lucerne,3
Pt Cruiser,3
Escort,3
Deville,3
Accord Hybrid,3
Mkz,3
Mondeo,3
Range Rover Sport,3
Sp,3
Cast,3
Mini Cooper S,3
Eight,3
Spirit,3
Navigator,3
Cts-V,3
Monte Carlo,3
168,3
Sonoma,3
540I,3
Sunny,3
Ridgeline,3
Aveo,3
Neon,3
Elite,3
104,3
Lanos,3
Pig,3
Transit Connect,3
330I,3
Shadow,3
428I,3
Lc,3
M5,3
Lacrosse,3
C8,3
X2,3
Gv70,3
Canyon,3
Viper,3
Sebring,3
M2,3
Nautilus,2
X4,2
855,2
Venue,2
235,2
Ev6,2
Yukon Xl,2
Lyriq,2
Intrepid,2
Nitro,2
Laser,2
Ix,2
F-250,2
Q7,2
Qx80,2
Ateca,2
Lfa,2
Xj,2
Z4,2
Territory,2
Rc,2
I30,2
Encore Gx,2
A4 Allroad,2
128,2
X1,2
Galaxy,2
Xe,2
Regal,2
325I,2
Venture,2
Q2,2
G80,2
Hs,2
Hhr,2
Karma,2
147,2
127,2
Prologue,2
310,2
138,2
Dart,2
Rz,2
Defender,2
M6,2
Carnival,2
355,2
Renegade,2
Fusion Hybrid,2
C1,2
166,2
Interceptor,2
335I,2
Envoy,2
Berlingo,2
Duster,2
Hover,2
Magnum,2
320I,2
I20,2
Stinger,2
Giulietta,2
Rocky,2
Ds3,2
Town Car,2
Spider,2
Delta,2
Formentor,2
Verano,2
Zr1,2
C7,2
135,2
Commodore,2
C5,2
Q60,2
Hx,2
Falcon,2
Crossfire,2
318I,2
Twelve,2
159,2
Ats,2
I10,2
Ct4,2
A8,2
550I,2
Emira,2
4 Series,2
Gsa,2
X5 M50I,1
Stelvio,1
Ct5-V,1
H6,1
E-Tron,1
Tiger,1
E-Tron Gt,1
Rs E-Tron Gt,1
Zdx,1
Hummer Ev,1
M5 Touring,1
E2,1
B5,1
Rs5,1
P72,1
Corsair,1
Qx50,1
Q8,1
Cobra,1
Violet,1
Ux,1
Bolide,1
M5 Competition,1
Elise,1
Discovery,1
Aviator,1
Q40,1
Gemini,1
Fargo,1
R8,1
280Z,1
Nsx,1
Sq5,1
F40,1
Javelin,1
X1/9,1
Ecosport,1
Xt6,1
Ka,1
Lhs,1
Jesko,1
118I,1
Jalpa,1
Countach,1
Villa,1
M3 Competition,1
H7,1
Ute,1
Ct4-V,1
Aspen,1
Crown Victoria,1
Ct6,1
H3,1
Regera,1
530I,1
Ducato,1
Freestar,1
Evora,1
Esprit,1
Fairlady,1
Vistiq,1
Visa,1
Gallardo,1
620,1
128I,1
V8 Vantage,1
R8 V10,1
Azera,1
520,1
F430,1
Ff,1
Cirrus,1
D1,1
D3,1
Stratus,1
Concorde,1
D5,1
Daytona,1
Racer,1
Ranger Raptor,1
Lambda,1
128Ti,1
Huracán,1
V12 Vantage,1
595,1
Multipla,1
323I,1
Cannon,1
Prince,1
Naked,1
2105,1
Jimmy,1
Urus,1
I5,1
Guardian,1
Windsor,1
Grande Punto,1
Emotion,1
520D,1
Lebaron,1
320D,1
Puma,1
Tipo,1
B6,1
Ds4,1
Colt,1
Conquest,1
Sri,1
G70,1
330,1
240Z,1
Panda,1
171,1
Reatta,1
Xd4,1
A3 Cabriolet,1
H2,1
H1,1
Barina Spark,1
Barina,1
C4,1
Ypsilon,1
Jumpy,1
Grand Sport,1
Picanto,1
Caprice,1
Kuga,1
156,1
Supernova,1
Born,1
Ocean,1
Mu,1
350 Gt,1
Logan,1
Xt5,1
Voyager,1
118D,1
X3 M,1
Mkx,1
S1,1
335D,1
120D,1
M240I,1
Riviera,1
6 Series,1
S3,1
A5 Sportback,1
Gv80,1
A4 Avant,1
M4 Competition,1
530E,1
640I,1
Ascender,1
Rainier,1
M12,1
Astro,1
500L,1
Thunderbird,1
B12,1
M8,1
M10,1
Aventador,1
851,1
Xsara,1
242,1
510,1
Trooper,1
Csr,1
I3,1
Srx,1
Verna,1
Altis,1
Pick-Up,1
Han,1
Envision,1
Accord Sedan,1
A5 Cabriolet,1
Orlando,1
Linea,1
969,1
Captiva,1
Hawk,1
8 Series,1
440I,1
840I,1
Ace,1
Bmw X6,1
X6,1
162,1
F-Pace,1
332,1
X3 M40I,1
Park Avenue,1
Grand Cherokee L,1
Arcadia,1
Dolphin,1
